server_id,strictness,domain,title,description,active_month,languages,rules,total_users
14,6.233333333333333,universeodon.com,Universeodon Social Media,"Be one with the #fediverse. Join millions of humans building, creating, and collaborating on Mastodon Social Network. Supports 1000 character posts.",3157,['en'],"[{'id': '16', 'text': 'Sexually explicit or violent media must be marked as sensitive & content warned when posting'}, {'id': '17', 'text': 'Be respectful. Racism, sexism, homophobia, transphobia (including targeted misgendering, deadnaming, or promotion of so-called ""conversion therapy""), xenophobia, and other forms of hate and discrimination are not welcome. Your behaviour elsewhere may also be considered if brought to our attention. '}, {'id': '18', 'text': 'No incitement of violence or promotion of discriminatory or violent ideologies'}, {'id': '19', 'text': 'No spam, harrassment, dogpiling or doxxing of other users, this includes mass and spam reporting'}, {'id': '20', 'text': 'No content illegal in The United Kingdom'}, {'id': '21', 'text': 'No intentionally false or misleading information. By extension, do not pose as persons of interest. '}, {'id': '22', 'text': 'Controversial, reactionary, NSFW, and satirical or similar content may be removed if not obviously Content Warned where appropriate.'}, {'id': '23', 'text': 'No promotion of gambling, Crypto, NFTs, anti-vaccination, self-harm, terrorism, illegal activities, Abuse/exploitation, or Violence.'}, {'id': '24', 'text': 'The sites staff team will ultimately have the final say on any and all moderation actions.'}]",81677
17,5.666666666666666,c.im,C.IM,"C.IM is a general, mainly English-speaking Mastodon instance.",2688,['en'],"[{'id': '11', 'text': 'Respect the laws of the Netherlands and the Isle of Man, including those related to hate speech and defamation.', 'hint': ''}, {'id': '12', 'text': 'Threatening, abusive, intolerant or illegal behavior may lead to moderation and/or further measures. We have a zero tolerance approach to racism, sexism, homophobia and transphobia. Moderation decisions are final. ', 'hint': ''}, {'id': '13', 'text': 'The Content Warning flag should be used for NSFW content, and NSFW media should be marked as sensitive.', 'hint': ''}, {'id': '14', 'text': 'Account registrations are monitored and accounts considered spam (including commercial advertising, political campaigning/propaganda, duplicate accounts or impersonating legal entities) will be moderated or removed.', 'hint': ''}, {'id': '15', 'text': 'Do not harass or bully other users.', 'hint': ''}, {'id': '16', 'text': 'Do not share illegal or copyrighted content.', 'hint': ''}, {'id': '17', 'text': 'Do not spam or engage in any form of malicious activity.', 'hint': ''}, {'id': '18', 'text': 'Keep discussions civil and respectful, and refrain from using derogatory language or engaging in personal attacks.', 'hint': ''}, {'id': '19', 'text': 'Do not reveal personal information about other people without their consent.', 'hint': ''}, {'id': '20', 'text': 'Use appropriate tags and content warnings when posting potentially sensitive or triggering content.', 'hint': ''}, {'id': '21', 'text': 'If you see a violation of these rules, report it to the moderation team.', 'hint': ''}, {'id': '22', 'text': 'To use our service, you are at least 18 years old.', 'hint': ''}]",67782
18,9.0,mstdn.ca,Mastodon Canada,"A community for Canadians, First Nations, Metis, and Inuit Peoples of the great white north.",2670,['en'],"[{'id': '1', 'text': 'No toxic and hateful speech.', 'hint': ''}, {'id': '3', 'text': 'No incitement of violence and no promotion of misleading or violent ideologies.', 'hint': ''}, {'id': '4', 'text': 'No harassment, dogpiling, or unwanted advances.', 'hint': ''}, {'id': '5', 'text': 'No doxxing of other users.', 'hint': ''}, {'id': '6', 'text': ""No content illegal in Canada or copyrighted content that you don't own rights to."", 'hint': ''}, {'id': '7', 'text': 'Sexually explicit or violent media must be marked appropriately.', 'hint': ''}, {'id': '8', 'text': 'No spamming.\r\nExcessive posting, boosting, advertising or mass-marketing posts will be actioned accordingly and based on intent.', 'hint': ''}, {'id': '9', 'text': 'Be yourself.\r\nAccounts intended to impersonate or parody are not permitted, and those found to be directly misrepresenting themselves as another person or entity will be actioned accordingly.', 'hint': ''}, {'id': '10', 'text': 'Agree to the Terms of Service and Code of Conduct.', 'hint': ''}]",35494
19,9.333333333333334,sfba.social,SFBA.social,A Mastodon instance for the San Francisco Bay Area. Come on in and join us!,2269,['en'],"[{'id': '28', 'text': 'Do not use slurs or racist, sexist, homophobic, transphobic, ableist or otherwise discriminatory or hateful jokes or language; or promote white supremacy, anti-Semitism, transphobia, casteist, or other hateful ideologies.', 'hint': ''}, {'id': '29', 'text': 'Do not post content that is illegal in the USA or California.', 'hint': 'This includes unlicensed media. We will remove copyrighted content in response to a valid DMCA notice per our policy.'}, {'id': '30', 'text': 'Do not harass anyone, participate in group harassment of anyone, or otherwise engage in name calling or personal attacks.', 'hint': ''}, {'id': '31', 'text': 'Do not post or threaten to post other people’s personally identifying information (“doxxing”).', 'hint': ''}, {'id': '32', 'text': 'Do not tone police.', 'hint': ''}, {'id': '33', 'text': 'Do not “shitpost” hateful content', 'hint': 'While humorous posts are allowed, even encouraged, “shitposting” is not an exception to rules 1 or 3. There are no ironic slurs.'}, {'id': '34', 'text': 'Do not sell or promote cryptocurrencies or NFTs.', 'hint': ''}, {'id': '62', 'text': 'Do not litigate moderation decisions on the timeline. ', 'hint': 'You can direct message @moderators with concerns.'}, {'id': '63', 'text': 'Mark content that contains nudity, gore, violence, etc. as sensitive and clearly label it with a content warning and/or hashtag.', 'hint': ''}, {'id': '64', 'text': 'Do not post spam.', 'hint': 'There is additional information about what SFBA.social considers spam on the information hub: https://hub.sfba.social/2024/07/05/sfba-social-spam-policy/'}, {'id': '65', 'text': 'Organizations must be based in the SF Bay Area.', 'hint': 'See our Corporate and Organization policy for more details.\r\nhttps://hub.sfba.social/governance/corporate-and-organization-accounts-on-sfba-sites/'}]",39192
22,8.238095238095237,mastodon.scot,mastodon.scot,A server intended for (but not limited to) users in Scotland or who identify as Scottish.,2178,['en'],"[{'id': '10', 'text': ""No discrimination, including (but not limited to) racism, sexism, homophobia or transphobia (including targeted misgendering, deadnaming, or promotion of so-called 'conversion therapy')."", 'hint': ''}, {'id': '11', 'text': 'No explicit (NSFW) content without content warnings and/or sensitive media markers. Explicit content must not be used in user avatars or header images.', 'hint': ''}, {'id': '18', 'text': 'No harassment of other users on this or other servers.', 'hint': ''}, {'id': '19', 'text': 'No content illegal in the following countries: United Kingdom, Germany', 'hint': ''}, {'id': '20', 'text': 'No incitement of violence or promotion of violent ideologies.', 'hint': ''}, {'id': '21', 'text': 'No disinformation regarding public health issues or political/military campaigns.', 'hint': ''}, {'id': '22', 'text': 'No spam. This includes commercial advertising, promotion of services, and SEO.', 'hint': ''}, {'id': '23', 'text': 'No impersonation of other individuals, public figures or organisations, unless clearly marked as a parody.', 'hint': ''}, {'id': '24', 'text': 'All automated (bot) accounts must enable the bot flag in their account preferences, respect #nobot markers, and post as unlisted unless making less than one post per hour.', 'hint': ''}]",29106
24,5.238095238095238,ohai.social,ohai.social,"A cozy, fast and secure Mastodon server where everyone is welcome. Run by the folks at ohai.is.",1751,['en'],"[{'id': '1', 'text': 'We do not tolerate discriminatory behavior and content promoting or advocating the oppression of members of marginalized groups.', 'hint': ''}, {'id': '8', 'text': 'We do not tolerate threatening behavior, stalking, doxxing, or harassment (including brigading, dogpiling, or any other form of contact with a user who has stated that they do not wish to be contacted).', 'hint': ''}, {'id': '11', 'text': 'We do not tolerate violent nationalist propaganda, Nazi symbolism or promoting the ideology of National Socialism.', 'hint': ''}, {'id': '12', 'text': 'We do not tolerate conspiracy narratives or other reactionary myths supporting or leading to the above-mentioned (and/or similar) behavior.', 'hint': ''}, {'id': '15', 'text': 'All explicit (NSFW) content must be marked as sensitive and have a content warning. Explicit content must not be used in user avatars or header images.', 'hint': ''}, {'id': '16', 'text': 'Content that is illegal in Germany will be deleted and may lead to immediate account suspension.', 'hint': ''}]",40004
25,4.0,mastodon.ie,mastodon.ie,"Irish Mastodon - run from Ireland, we welcome all who respect the community rules and members.",1742,['en'],"[{'id': '1', 'text': ""Don't Be A Ballox"", 'hint': ''}, {'id': '2', 'text': 'No bigotry, racism, xenophobia, sexism, homophobia, transphobia, anti-Traveller speech or any hate speech.', 'hint': ''}, {'id': '5', 'text': ' No unsolicited DMs ', 'hint': ''}, {'id': '8', 'text': 'We have Threads blocked, just so you know', 'hint': ''}, {'id': '9', 'text': 'We operate on a ""3 strikes and you\'re out"" basis.', 'hint': ''}]",21213
26,5.0,defcon.social,DEF CON Social,"DEFCON.social = The intersection of technology and society, a community for artists, hackers, policy, academics, researchers, infosec, activists & cyberpunks",1730,['en'],"[{'id': '21', 'text': 'No toxic behavior', 'hint': 'No racism, sexism, homophobia, transphobia, ableism, xenophobia, casetism, supremacy, and edgelord behavior such as trolling, dogpiling, sealioning, harassment, doxxing, incitement to violence. Do not make users feel uncomfortable, unwelcome, or afraid'}, {'id': '25', 'text': ""Don't break laws here"", 'hint': ""Don't ask others to break laws here, or admit to breaking laws""}, {'id': '26', 'text': 'Pornography, Nudity, Gore, illegal content, spam & commercial advertising are forbidden', 'hint': 'Promoting your own projects in moderation is OK'}, {'id': '28', 'text': 'No impersonation or undeclared automated accounts', 'hint': 'Don\'t claim to be Taylor Swift when you aren\'t. Mark your account as type ""Bot"" if you are automatically posting'}, {'id': '30', 'text': 'You must be at least 13 years old', 'hint': 'We want to comply with regulations such as the US Child Online Protection Act (COPA), the California Consumer Privacy Act (CCPA), and the UK Age-Appropriate Design Code (AADC)'}]",15536
29,1.6666666666666665,social.linux.pizza,Linux.Pizza,"A instance dedicated - but not limited - to people with an interest in the GNU+Linux ecosystem and/or general tech. Sysadmins to enthusiasts, creators to movielovers - Welcome!

",1252,['en'],"[{'id': '1', 'text': 'Dont post NSFW without CW', 'hint': ''}, {'id': '2', 'text': 'Dont post ads without permission\r\n', 'hint': ''}, {'id': '3', 'text': 'Dont promote violence, racism and/or discrimination towards other people of other ethnical backgrounds or sexual orientation (hate speech)', 'hint': ''}, {'id': '4', 'text': 'We dont want crypto-ads here aswell.', 'hint': ''}, {'id': '5', 'text': 'Dont be rude, keep conversations civil and kind.', 'hint': ''}, {'id': '6', 'text': 'All public posts from this instance are indexed by tootfinder.ch.', 'hint': ''}, {'id': '7', 'text': 'Do not flood the timeline with posts. If you still want to do that - please set the posts as ""unlisted"".', 'hint': ''}, {'id': '8', 'text': 'No vatniks', 'hint': ''}]",11992
31,6.375,social.cologne,Mastodon,"social.cologne is eine Mastodon Instanz für jede:n Kölner:in und alle, die sich mit Köln verbunden fühlen. Betrieben von https://cgnfs.de.",1201,['en'],"[{'id': '12', 'text': 'Treat others with respect', 'hint': 'Avoid any form of insult, bullying, or discrimination, including but not limited to racist, sexist, homophobic, transphobic, anti-Semitic, and misogynistic statements or actions against others.'}, {'id': '13', 'text': 'Use appropriate tone', 'hint': 'Use a respectful and friendly tone, even if you disagree with someone.'}, {'id': '14', 'text': 'Respect privacy', 'hint': 'Do not share personal information without explicit permission and respect the privacy rights of others.'}, {'id': '15', 'text': 'Comply with applicable law', 'hint': 'Do not publish any illegal content.'}, {'id': '16', 'text': 'Avoid misinformation', 'hint': 'Do not share false or misleading information.'}, {'id': '17', 'text': 'No spam posts', 'hint': 'Refrain from publishing unwanted advertising or similar content that does not fit the community.'}, {'id': '19', 'text': 'Mark sensitive content (CW)', 'hint': 'Please mark any content that may contain common triggers, is sexually explicit or violent as sensitive (CW) to ensure the safety of other members. Note: Accounts that exclusively post such content may be limited or banned.'}, {'id': '20', 'text': 'You must be older than 16 years', 'hint': 'According to European law, you must be at least 16 years old to use this instance.'}]",12065
32,2.0,flipboard.social,Flipboard,"Welcome to Flipboard on Mastodon. A place for our community of curators and enthusiasts to inform and inspire each other.  
If you'd like to join please request an invitation via the sign-up page. ",1192,['en'],"[{'id': '6', 'text': 'This instance is part of Flipboard and adheres to the same Community Guidelines. You can read them here https://about.flipboard.com/community-guidelines/', 'hint': ''}, {'id': '7', 'text': 'Keep this instance safe, respectful, and fun by not violating the rules.', 'hint': ''}, {'id': '8', 'text': 'Consider how your post might impact others - if it might be received as offensive, painful, or otherwise unwanted, please use a content warning (CW.)', 'hint': ''}, {'id': '34', 'text': 'Misgendering, deadnaming, or promotion of so-called ""conversion therapy"" is prohibited.', 'hint': ''}]",7482
34,7.0,mastodon.green,Mastodon.green,"Plant trees while you use Mastodon. A server originally for people in the EU, but now open for anyone in the world",1141,['en'],"[{'id': '395', 'text': 'Try 30-days for free, only 1,50 € (+VAT) per month after. No algorithms or ads to waste your time. We use 20 % of membership fees to plant trees. Change your plan or cancel at any time', 'hint': ''}, {'id': '397', 'text': 'Please abide by the community standards', 'hint': ''}, {'id': '398', 'text': 'You can use any official EU language, Icelandic and Norwegian on this server', 'hint': ''}, {'id': '399', 'text': 'No sexually explicit images or video', 'hint': ''}, {'id': '400', 'text': 'No racism, sexism, homophobia, transphobia, xenophobia, or casteism', 'hint': ''}, {'id': '401', 'text': 'No incitement of violence or promotion of violent ideologies', 'hint': ''}, {'id': '402', 'text': 'No harassment, dogpiling or doxxing of other users', 'hint': ''}, {'id': '404', 'text': 'No false or misleading information', 'hint': ''}]",12004
36,6.0,indieweb.social, Indieweb.Social ,"INDIEWEB.SOCIAL is an instance focused on the evolution of #Openweb, #Indieweb, #Fediverse, #Mastodon, #Humanetech and #Calm technologies. ",1123,['en'],"[{'id': '1', 'text': 'No spam or excessive self-promoting in posts.', 'hint': ''}, {'id': '2', 'text': 'No bots that are not labeled as such in their profile.', 'hint': ''}, {'id': '3', 'text': 'Keep conversations civil and respectful even in disagreement.', 'hint': ''}, {'id': '4', 'text': 'No racism, sexism, homophobia, transphobia, xenophobia, anti-Semitism, or casteism (including targeted misgendering, deadnaming, or promotion of so-called ""conversion therapy"").', 'hint': ''}, {'id': '5', 'text': 'No sexually explicit or violent posts or media allowed', 'hint': ''}, {'id': '6', 'text': 'No incitement of violence or promotion of violent ideologies', 'hint': ''}, {'id': '7', 'text': 'No illegal content.', 'hint': ''}]",11825
37,10.25,nerdculture.de,NerdCulture,"Be excellent to each other, live humanism, no nazis, no hate speech. Not only for nerds, but the domain is somewhat cool. ;)
No bots in general. Languages: DE, EN, FR, NL, ES, IT",1109,['en'],"[{'id': '1', 'text': 'Be friendly and polite to each other', 'hint': ''}, {'id': '2', 'text': 'No hate speech, no discrimination of others, regardless of their age, gender, nationality or whatever', 'hint': ''}, {'id': '3', 'text': 'No spamming of any kind.', 'hint': ''}, {'id': '4', 'text': ""Don't annoy others and don't get easily annoyed by others."", 'hint': ''}, {'id': '5', 'text': 'No advertisements of commercial products.', 'hint': ''}, {'id': '6', 'text': 'No distribution of copyrighted material.', 'hint': ''}, {'id': '7', 'text': ""Do not upload material for which you don't have the rights"", 'hint': ''}, {'id': '8', 'text': 'No automated posts by bots, except when you have permission to do so by the server admins', 'hint': ''}, {'id': '9', 'text': ""Don't abuse this service or server."", 'hint': ''}, {'id': '10', 'text': 'Treat other how you want to be treated by them - with respect!', 'hint': ''}, {'id': '11', 'text': 'This is a service running on a private server and as a friendly user you are welcome to use this service, but in the end the server admin can cancel user accounts and will do when the user misbehaves. The admin will decide in the end. ', 'hint': ''}, {'id': '12', 'text': ""Valid mail address required! You'll receive reminder mail after 6 months of inactivity to log in again. If you don't react to those mails, your account will be deleted after 7 months of inactivity. "", 'hint': ''}, {'id': '13', 'text': 'Allowed languages are German and English as main languages while as the following languages are tolerated: Dutch, French, Spanish, Italian.', 'hint': ''}, {'id': '14', 'text': 'This service is free of cost for you.\r\nHowever offering this service does have cost implications. If you can afford some cents per week it would be great when you could contribute in sharing the server costs. Of course this voluntarily for you. ', 'hint': ''}, {'id': '16', 'text': ""No free-speech extremists, no far-right extremists, no nationalists. This includes people that elect or support such political parties like AfD in Germany, Fratelli d'Italia in Italy or Rassemblement National in France, etc.. If you support these parties, this instance is not for you. "", 'hint': ''}, {'id': '18', 'text': 'Alt Texts for Pictures encouraged. Please conduct descriptive texts for pictures you upload (Alt Texts). This helps visually impaired users and others enormously in their online life. ', 'hint': ''}]",7163
38,4.333333333333333,ieji.de,ieji.de,"ieji.de is a generalistic mastodon instance, with the goal of being the fastest mastodon instance in Europe and with a focus on user privacy, like being usable via the tor network.",1105,['en'],"[{'id': '1', 'text': 'No explicit content allowed', 'hint': ''}, {'id': '2', 'text': 'Erotic content must have content warning', 'hint': ''}, {'id': '3', 'text': 'No harassment allowed', 'hint': ''}, {'id': '4', 'text': 'No backlink accounts allowed', 'hint': ''}, {'id': '5', 'text': 'Unlawful content is forbidden', 'hint': ''}]",15114
